,0
CL:0000038,0
CL:0000051,1
CL:0000091,2
CL:0000097,3
CL:0000232,4
CL:0000233,5
CL:0000583,6
CL:0000775,7
CL:0000784,8
CL:0000787,9
CL:0000788,10
CL:0000798,11
CL:0000809,12
CL:0000814,13
CL:0000815,14
CL:0000817,15
CL:0000837,16
CL:0000863,17
CL:0000895,18
CL:0000900,19
CL:0000904,20
CL:0000905,21
CL:0000910,22
CL:0000912,23
CL:0000913,24
CL:0000938,25
CL:0000939,26
CL:0000940,27
CL:0000980,28
CL:0000987,29
CL:0001044,30
CL:0001050,31
CL:0001062,32
CL:0001082,33
CL:0002038,34
CL:0002046,35
CL:0002057,36
CL:0002343,37
CL:0002393,38
CL:0002396,39
CL:0002399,40
CL:0002489,41
CL:0002629,42
CL:1000695,43
CL:3000001,44
CL:0000084,45
CL:0000113,46
CL:0000129,47
CL:0000235,48
CL:0000236,49
CL:0000451,50
CL:0000492,51
CL:0000542,52
CL:0000576,53
CL:0000623,54
CL:0000624,55
CL:0000625,56
CL:0000738,57
CL:0000763,58
CL:0000782,59
CL:0000785,60
CL:0000786,61
CL:0000791,62
CL:0000826,63
CL:0000838,64
CL:0000860,65
CL:0000861,66
CL:0000875,67
CL:0000878,68
CL:0000890,69
CL:0000898,70
CL:0000909,71
CL:0000988,72
CL:0000990,73
CL:0001054,74
CL:0001065,75
CL:0001203,76
CL:0002419,77
CL:0008001,78
CL:1001603,79
