,0
CL:0000233,0
CL:0000559,1
CL:0000794,2
CL:0000895,3
CL:0000899,4
CL:0000900,5
CL:0000903,6
CL:0000904,7
CL:0000905,8
CL:0000907,9
CL:0000910,10
CL:0000912,11
CL:0000913,12
CL:0000915,13
CL:0000917,14
CL:0000934,15
CL:0000936,16
CL:0000938,17
CL:0000939,18
CL:0000940,19
CL:0000985,20
CL:0000987,21
CL:0001043,22
CL:0001044,23
CL:0001049,24
CL:0001050,25
CL:0001058,26
CL:0001062,27
CL:0002045,28
CL:0002046,29
CL:0002048,30
CL:0002057,31
CL:0002343,32
CL:0002355,33
CL:0002396,34
CL:0002399,35
CL:0002629,36
CL:1000695,37
CL:2000054,38
CL:3000001,39
CL:4033043,40
CL:0000037,41
CL:0000038,42
CL:0000049,43
CL:0000050,44
CL:0000051,45
CL:0000081,46
CL:0000084,47
CL:0000091,48
CL:0000094,49
CL:0000097,50
CL:0000113,51
CL:0000129,52
CL:0000232,53
CL:0000235,54
CL:0000236,55
CL:0000451,56
CL:0000453,57
CL:0000492,58
CL:0000542,59
CL:0000549,60
CL:0000550,61
CL:0000556,62
CL:0000557,63
CL:0000576,64
CL:0000583,65
CL:0000623,66
CL:0000624,67
CL:0000625,68
CL:0000738,69
CL:0000763,70
CL:0000764,71
CL:0000765,72
CL:0000766,73
CL:0000767,74
CL:0000775,75
CL:0000782,76
CL:0000784,77
CL:0000785,78
CL:0000786,79
CL:0000787,80
CL:0000788,81
CL:0000789,82
CL:0000790,83
CL:0000791,84
CL:0000792,85
CL:0000798,86
CL:0000800,87
CL:0000809,88
CL:0000810,89
CL:0000811,90
CL:0000813,91
CL:0000814,92
CL:0000815,93
CL:0000816,94
CL:0000817,95
CL:0000818,96
CL:0000826,97
CL:0000827,98
CL:0000836,99
CL:0000837,100
CL:0000838,101
CL:0000844,102
CL:0000860,103
CL:0000861,104
CL:0000863,105
CL:0000875,106
CL:0000878,107
CL:0000890,108
CL:0000893,109
CL:0000896,110
CL:0000897,111
CL:0000898,112
CL:0000906,113
CL:0000909,114
CL:0000914,115
CL:0000954,116
CL:0000957,117
CL:0000970,118
CL:0000972,119
CL:0000980,120
CL:0000988,121
CL:0000990,122
CL:0001054,123
CL:0001056,124
CL:0001065,125
CL:0001071,126
CL:0001078,127
CL:0001082,128
CL:0001203,129
CL:0002032,130
CL:0002038,131
CL:0002193,132
CL:0002393,133
CL:0002397,134
CL:0002419,135
CL:0002489,136
CL:0002496,137
CL:0008001,138
CL:1001603,139
CL:4033039,140
