,0
CL:0000038,0
CL:0000049,1
CL:0000051,2
CL:0000091,3
CL:0000097,4
CL:0000232,5
CL:0000233,6
CL:0000558,7
CL:0000583,8
CL:0000765,9
CL:0000775,10
CL:0000787,11
CL:0000788,12
CL:0000795,13
CL:0000800,14
CL:0000809,15
CL:0000814,16
CL:0000817,17
CL:0000818,18
CL:0000837,19
CL:0000844,20
CL:0000863,21
CL:0000881,22
CL:0000895,23
CL:0000900,24
CL:0000904,25
CL:0000905,26
CL:0000907,27
CL:0000910,28
CL:0000912,29
CL:0000913,30
CL:0000938,31
CL:0000939,32
CL:0000940,33
CL:0000968,34
CL:0000980,35
CL:0000985,36
CL:0000987,37
CL:0001044,38
CL:0001046,39
CL:0001050,40
CL:0001056,41
CL:0001062,42
CL:0001072,43
CL:0001078,44
CL:0002038,45
CL:0002046,46
CL:0002057,47
CL:0002343,48
CL:0002393,49
CL:0002394,50
CL:0002396,51
CL:0002399,52
CL:0002489,53
CL:0002629,54
CL:0002677,55
CL:0009068,56
CL:0011025,57
CL:1000695,58
CL:3000001,59
CL:4033043,60
CL:0000084,61
CL:0000113,62
CL:0000129,63
CL:0000235,64
CL:0000236,65
CL:0000451,66
CL:0000492,67
CL:0000542,68
CL:0000576,69
CL:0000623,70
CL:0000624,71
CL:0000625,72
CL:0000738,73
CL:0000763,74
CL:0000782,75
CL:0000784,76
CL:0000785,77
CL:0000786,78
CL:0000791,79
CL:0000792,80
CL:0000798,81
CL:0000815,82
CL:0000826,83
CL:0000838,84
CL:0000860,85
CL:0000861,86
CL:0000875,87
CL:0000878,88
CL:0000890,89
CL:0000897,90
CL:0000898,91
CL:0000909,92
CL:0000988,93
CL:0000990,94
CL:0001047,95
CL:0001054,96
CL:0001065,97
CL:0001082,98
CL:0001203,99
CL:0002419,100
CL:0002678,101
CL:0008001,102
CL:1001603,103
