Gene stable ID,Gene description,Gene type,Gene name
ENSG00000210049,mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481],Mt_tRNA,MT-TF
ENSG00000211459,mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470],Mt_rRNA,MT-RNR1
ENSG00000210077,mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500],Mt_tRNA,MT-TV
ENSG00000210082,mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471],Mt_rRNA,MT-RNR2
ENSG00000209082,mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490],Mt_tRNA,MT-TL1
ENSG00000198888,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455],protein_coding,MT-ND1
ENSG00000210100,mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488],Mt_tRNA,MT-TI
ENSG00000210107,mitochondrially encoded tRNA-Gln (CAA/G) [Source:HGNC Symbol;Acc:HGNC:7495],Mt_tRNA,MT-TQ
ENSG00000210112,mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492],Mt_tRNA,MT-TM
ENSG00000198763,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456],protein_coding,MT-ND2
ENSG00000210117,mitochondrially encoded tRNA-Trp (UGA/G) [Source:HGNC Symbol;Acc:HGNC:7501],Mt_tRNA,MT-TW
ENSG00000210127,mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475],Mt_tRNA,MT-TA
ENSG00000210135,mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493],Mt_tRNA,MT-TN
ENSG00000210140,mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477],Mt_tRNA,MT-TC
ENSG00000210144,mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502],Mt_tRNA,MT-TY
ENSG00000198804,mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419],protein_coding,MT-CO1
ENSG00000210151,mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497],Mt_tRNA,MT-TS1
ENSG00000210154,mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478],Mt_tRNA,MT-TD
ENSG00000198712,mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421],protein_coding,MT-CO2
ENSG00000210156,mitochondrially encoded tRNA-Lys (AAA/G) [Source:HGNC Symbol;Acc:HGNC:7489],Mt_tRNA,MT-TK
ENSG00000228253,mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415],protein_coding,MT-ATP8
ENSG00000198899,mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414],protein_coding,MT-ATP6
ENSG00000198938,mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422],protein_coding,MT-CO3
ENSG00000210164,mitochondrially encoded tRNA-Gly (GGN) [Source:HGNC Symbol;Acc:HGNC:7486],Mt_tRNA,MT-TG
ENSG00000198840,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458],protein_coding,MT-ND3
ENSG00000210174,mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496],Mt_tRNA,MT-TR
ENSG00000212907,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460],protein_coding,MT-ND4L
ENSG00000198886,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459],protein_coding,MT-ND4
ENSG00000210176,mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487],Mt_tRNA,MT-TH
ENSG00000210184,mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498],Mt_tRNA,MT-TS2
ENSG00000210191,mitochondrially encoded tRNA-Leu (CUN) 2 [Source:HGNC Symbol;Acc:HGNC:7491],Mt_tRNA,MT-TL2
ENSG00000198786,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461],protein_coding,MT-ND5
ENSG00000198695,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462],protein_coding,MT-ND6
ENSG00000210194,mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479],Mt_tRNA,MT-TE
ENSG00000198727,mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427],protein_coding,MT-CYB
ENSG00000210195,mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499],Mt_tRNA,MT-TT
ENSG00000210196,mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:HGNC:7494],Mt_tRNA,MT-TP
ENSG00000299200,novel transcript,lncRNA,
ENSG00000308964,novel transcript,lncRNA,
ENSG00000278457,5S ribosomal RNA [Source:RFAM;Acc:RF00001],rRNA,5S_rRNA
