cl_id	cl_name	cl_idx
CL:0000037	hematopoietic stem cell	-38
CL:0000038	erythroid progenitor cell	-39
CL:0000040	monoblast	41
CL:0000041	mature eosinophil	42
CL:0000042	neutrophilic myeloblast	43
CL:0000043	mature basophil	44
CL:0000049	common myeloid progenitor	-50
CL:0000050	megakaryocyte-erythroid progenitor cell	-51
CL:0000051	common lymphoid progenitor	-52
CL:0000081	blood cell	-82
CL:0000084	T cell	-85
CL:0000091	Kupffer cell	-92
CL:0000092	osteoclast	-93
CL:0000094	granulocyte	-95
CL:0000096	mature neutrophil	-97
CL:0000097	mast cell	-98
CL:0000113	mononuclear phagocyte	-114
CL:0000129	microglial cell	-130
CL:0000145	professional antigen presenting cell	-146
CL:0000232	erythrocyte	-233
CL:0000233	platelet	234
CL:0000235	macrophage	-236
CL:0000236	B cell	-237
CL:0000385	prohemocyte (sensu Nematoda and Protostomia)	-386
CL:0000387	hemocyte (sensu Arthropoda)	-388
CL:0000390	blood cell (sensu Nematoda and Protostomia)	-391
CL:0000392	crystal cell	-393
CL:0000394	plasmatocyte	-395
CL:0000395	procrystal cell	396
CL:0000396	lamellocyte	397
CL:0000442	follicular dendritic cell	-443
CL:0000451	dendritic cell	-452
CL:0000453	Langerhans cell	-454
CL:0000484	connective tissue type mast cell	485
CL:0000485	mucosal type mast cell	486
CL:0000492	CD4-positive helper T cell	-493
CL:0000542	lymphocyte	-543
CL:0000545	T-helper 1 cell	546
CL:0000546	T-helper 2 cell	547
CL:0000547	proerythroblast	-548
CL:0000549	basophilic erythroblast	-550
CL:0000550	polychromatophilic erythroblast	-551
CL:0000552	orthochromatic erythroblast	-553
CL:0000553	megakaryocyte progenitor cell	-554
CL:0000556	megakaryocyte	-557
CL:0000557	granulocyte monocyte progenitor cell	-558
CL:0000558	reticulocyte	-559
CL:0000559	promonocyte	560
CL:0000560	band form neutrophil	561
CL:0000562	nucleate erythrocyte	563
CL:0000564	neutrophilic promyelocyte	565
CL:0000576	monocyte	-577
CL:0000580	neutrophilic myelocyte	581
CL:0000581	peritoneal macrophage	582
CL:0000582	neutrophilic metamyelocyte	583
CL:0000583	alveolar macrophage	-584
CL:0000588	odontoclast	-589
CL:0000595	enucleate erythrocyte	-596
CL:0000611	eosinophil progenitor cell	-612
CL:0000612	eosinophilic myelocyte	613
CL:0000613	basophil progenitor cell	-614
CL:0000614	basophilic myelocyte	615
CL:0000623	natural killer cell	-624
CL:0000624	CD4-positive, alpha-beta T cell	-625
CL:0000625	CD8-positive, alpha-beta T cell	-626
CL:0000647	multinucleated giant cell	648
CL:0000715	embryonic crystal cell	716
CL:0000716	lymph gland crystal cell	717
CL:0000733	lymph gland plasmatocyte	734
CL:0000735	lymph gland hemocyte	-736
CL:0000738	leukocyte	-739
CL:0000762	nucleated thrombocyte	763
CL:0000763	myeloid cell	-764
CL:0000764	erythroid lineage cell	-765
CL:0000765	erythroblast	-766
CL:0000766	myeloid leukocyte	-767
CL:0000767	basophil	-768
CL:0000768	immature basophil	-769
CL:0000769	basophilic metamyelocyte	770
CL:0000770	band form basophil	771
CL:0000771	eosinophil	-772
CL:0000772	immature eosinophil	-773
CL:0000773	eosinophilic metamyelocyte	774
CL:0000774	band form eosinophil	-775
CL:0000775	neutrophil	-776
CL:0000776	immature neutrophil	-777
CL:0000777	mesangial phagocyte	778
CL:0000778	mononuclear osteoclast	-779
CL:0000779	multinuclear osteoclast	-780
CL:0000780	multinuclear odontoclast	781
CL:0000781	mononuclear odontoclast	782
CL:0000782	myeloid dendritic cell	-783
CL:0000784	plasmacytoid dendritic cell	-785
CL:0000785	mature B cell	-786
CL:0000786	plasma cell	-787
CL:0000787	memory B cell	-788
CL:0000788	naive B cell	-789
CL:0000789	alpha-beta T cell	-790
CL:0000790	immature alpha-beta T cell	-791
CL:0000791	mature alpha-beta T cell	-792
CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	-793
CL:0000793	CD4-positive, alpha-beta intraepithelial T cell	-794
CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	795
CL:0000795	CD8-positive, alpha-beta regulatory T cell	-796
CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	797
CL:0000797	alpha-beta intraepithelial T cell	-798
CL:0000798	gamma-delta T cell	-799
CL:0000799	immature gamma-delta T cell	-800
CL:0000800	mature gamma-delta T cell	-801
CL:0000801	gamma-delta intraepithelial T cell	-802
CL:0000802	CD8-alpha alpha positive, gamma-delta intraepithelial T cell	-803
CL:0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell	804
CL:0000805	immature single positive thymocyte	806
CL:0000806	DN2 thymocyte	-807
CL:0000807	DN3 thymocyte	808
CL:0000808	DN4 thymocyte	809
CL:0000809	double-positive, alpha-beta thymocyte	-810
CL:0000810	CD4-positive, alpha-beta thymocyte	-811
CL:0000811	CD8-positive, alpha-beta thymocyte	-812
CL:0000813	memory T cell	-814
CL:0000814	mature NK T cell	-815
CL:0000815	regulatory T cell	-816
CL:0000816	immature B cell	-817
CL:0000817	precursor B cell	-818
CL:0000818	transitional stage B cell	-819
CL:0000819	B-1 B cell	-820
CL:0000820	B-1a B cell	821
CL:0000821	B-1b B cell	822
CL:0000822	B-2 B cell	-823
CL:0000823	immature natural killer cell	-824
CL:0000824	mature natural killer cell	-825
CL:0000825	pro-NK cell	826
CL:0000826	pro-B cell	-827
CL:0000827	pro-T cell	-828
CL:0000828	thromboblast	829
CL:0000829	basophilic myeloblast	830
CL:0000830	basophilic promyelocyte	831
CL:0000831	mast cell progenitor	-832
CL:0000832	eosinophilic myeloblast	833
CL:0000833	eosinophilic promyelocyte	834
CL:0000834	neutrophil progenitor cell	-835
CL:0000835	myeloblast	-836
CL:0000836	promyelocyte	-837
CL:0000837	hematopoietic multipotent progenitor cell	-838
CL:0000838	lymphoid lineage restricted progenitor cell	-839
CL:0000839	myeloid lineage restricted progenitor cell	-840
CL:0000840	immature conventional dendritic cell	-841
CL:0000841	mature conventional dendritic cell	-842
CL:0000842	mononuclear leukocyte	-843
CL:0000843	follicular B cell	-844
CL:0000844	germinal center B cell	-845
CL:0000845	marginal zone B cell of spleen	846
CL:0000860	classical monocyte	-861
CL:0000861	elicited macrophage	-862
CL:0000862	suppressor macrophage	-863
CL:0000863	inflammatory macrophage	-864
CL:0000864	tissue-resident macrophage	-865
CL:0000865	gastrointestinal tract (lamina propria) macrophage	-866
CL:0000866	thymic macrophage	-867
CL:0000867	secondary lymphoid organ macrophage	-868
CL:0000868	lymph node macrophage	-869
CL:0000869	tonsillar macrophage	870
CL:0000870	Peyer's patch macrophage	871
CL:0000871	splenic macrophage	-872
CL:0000872	splenic marginal zone macrophage	873
CL:0000873	splenic metallophillic macrophage	874
CL:0000874	splenic red pulp macrophage	875
CL:0000875	non-classical monocyte	-876
CL:0000876	splenic white pulp macrophage	-877
CL:0000877	splenic tingible body macrophage	878
CL:0000878	central nervous system macrophage	-879
CL:0000879	meningeal macrophage	880
CL:0000880	choroid plexus macrophage	-881
CL:0000881	perivascular macrophage	882
CL:0000882	thymic medullary macrophage	883
CL:0000883	thymic cortical macrophage	884
CL:0000884	mucosa-associated lymphoid tissue macrophage	-885
CL:0000885	gut-associated lymphoid tissue macrophage	-886
CL:0000886	nasal and broncial associated lymphoid tissue macrophage	887
CL:0000887	lymph node subcapsular sinus macrophage	888
CL:0000888	lymph node tingible body macrophage	889
CL:0000889	myeloid suppressor cell	-890
CL:0000890	alternatively activated macrophage	-891
CL:0000893	thymocyte	-894
CL:0000894	DN1 thymic pro-T cell	895
CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	896
CL:0000896	activated CD4-positive, alpha-beta T cell	-897
CL:0000897	CD4-positive, alpha-beta memory T cell	-898
CL:0000898	naive T cell	-899
CL:0000899	T-helper 17 cell	900
CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	901
CL:0000901	Tr1 cell	902
CL:0000902	induced T-regulatory cell	903
CL:0000903	natural T-regulatory cell	904
CL:0000904	central memory CD4-positive, alpha-beta T cell	905
CL:0000905	effector memory CD4-positive, alpha-beta T cell	906
CL:0000906	activated CD8-positive, alpha-beta T cell	-907
CL:0000907	central memory CD8-positive, alpha-beta T cell	908
CL:0000908	CD8-positive, alpha-beta cytokine secreting effector T cell	-909
CL:0000909	CD8-positive, alpha-beta memory T cell	-910
CL:0000910	cytotoxic T cell	911
CL:0000911	effector T cell	-912
CL:0000912	helper T cell	913
CL:0000913	effector memory CD8-positive, alpha-beta T cell	914
CL:0000914	immature NK T cell	-915
CL:0000915	CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell	916
CL:0000916	dendritic epidermal T cell	917
CL:0000917	Tc1 cell	918
CL:0000918	Tc2 cell	919
CL:0000919	CD8-positive, CD25-positive, alpha-beta regulatory T cell	920
CL:0000920	CD8-positive, CD28-negative, alpha-beta regulatory T cell	921
CL:0000921	type I NK T cell	-922
CL:0000922	type II NK T cell	-923
CL:0000923	CD4-positive type I NK T cell	-924
CL:0000924	CD4-negative, CD8-negative type I NK T cell	-925
CL:0000925	activated CD4-positive type I NK T cell	926
CL:0000926	CD4-positive type I NK T cell secreting interferon-gamma	927
CL:0000927	CD4-positive type I NK T cell secreting interleukin-4	928
CL:0000928	activated CD4-negative, CD8-negative type I NK T cell	929
CL:0000929	CD4-negative, CD8-negative type I NK T cell secreting interferon-gamma	930
CL:0000930	CD4-negative, CD8-negative type I NK T cell secreting interleukin-4	931
CL:0000931	activated type II NK T cell	932
CL:0000932	type II NK T cell secreting interferon-gamma	933
CL:0000933	type II NK T cell secreting interleukin-4	934
CL:0000934	CD4-positive, alpha-beta cytotoxic T cell	935
CL:0000935	CD4-negative, CD8-negative, alpha-beta intraepithelial T cell	936
CL:0000936	early lymphoid progenitor	937
CL:0000937	pre-natural killer cell	938
CL:0000938	CD16-negative, CD56-bright natural killer cell, human	939
CL:0000939	CD16-positive, CD56-dim natural killer cell, human	940
CL:0000940	mucosal invariant T cell	941
CL:0000941	thymic conventional dendritic cell	-942
CL:0000942	thymic plasmacytoid dendritic cell	943
CL:0000943	Be1 Cell	944
CL:0000944	Be2 cell	945
CL:0000945	lymphocyte of B lineage	-946
CL:0000946	antibody secreting cell	-947
CL:0000947	IgE plasma cell	948
CL:0000948	IgE memory B cell	949
